# 365 Pico2 RP2350 Project Ideas

A year-long journey through embedded systems with the Raspberry Pi Pico 2 (RP2350) using Embassy Rust. 

---

## 📦 Kit Components

| Quantity | Component |
|----------|-----------|
| 1 | Solderless Prototype Breadboard |
| 1 | T-type GPIO Extension Board |
| 1 | 40 Pin Ribbon Cable |
| 1 | I2C 1602 LCD Module |
| 1 | Servo Motor |
| 1 | 5V 1-Channel Relay Module |
| 1 | DHT11 Temperature & Humidity Sensor Module |
| 1 | BMP180 Digital Barometric Pressure Sensor Module |
| 1 | HC-SR501 Infrared Motion Sensor Module |
| 3 | Potentiometer (10kΩ adjustable resistor) |
| 1 | SW-520D Tilt Switch Sensor Module |
| 1 | 16 Channel 12 Bit PWM Servo Driver |
| 1 | Analog To Digital Converter |
| 1 | Active Buzzer Module |
| 3 | GL5516 Photoresistor (Light Sensor) |
| 24 | LEDs (6 White, 6 Red, 6 Yellow, 6 Green) |
| 1 | MB102 3. 3V/5V Power Supply Module |
| 5 | Push Buttons |
| 1 | Infrared Receiver (VS1838B) |
| 1 | Infrared Remote Controller |
| 20 | Resistors (10kΩ) |
| 20 | Resistors (1kΩ) |
| 5 | Resistors (1MΩ) |
| 20 | Resistors (200Ω) |
| 1 | 40 Pin Jumper Wires (15cm, M to M) |
| 2 | 8 Pin Jumper Wires (20cm, F to F) |
| 1 | 20 Pin Jumper Wires (15cm, M to F) |

---

## 🔴 LED Projects (Days 1-40)

| Day | Project | Difficulty |
| 44 | Long press vs short press detection | ⭐⭐ |
| 45 | Double-click detection | ⭐⭐ |
| 46 | Multi-button combination lock | ⭐⭐⭐ |
| 47 | Button-controlled menu system | ⭐⭐⭐ |
| 48 | Button interrupt handling | ⭐⭐ |
| 49 | Toggle switch behavior | ⭐⭐ |
| 50 | Button-controlled LED brightness steps | ⭐⭐ |
| 51 | Button-activated buzzer | ⭐ |
| 52 | Button sequence recorder | ⭐⭐⭐ |
| 53 | Button-controlled servo position | ⭐⭐ |
| 54 | Two-button up/down counter | ⭐⭐ |
| 55 | Button-triggered relay | ⭐⭐ |
| 56 | Emergency stop button system | ⭐⭐ |
| 57 | Button-controlled LCD message | ⭐⭐ |
| 58 | Five-button piano keys | ⭐⭐⭐ |
| 59 | Button state machine implementation | ⭐⭐⭐ |
| 60 | Button-activated timer | ⭐⭐ |
| 61 | Button-controlled PWM frequency | ⭐⭐ |
| 62 | Rock Paper Scissors button input | ⭐⭐ |
| 63 | Button hold duration meter | ⭐⭐ |
| 64 | Button-activated alarm system | ⭐⭐⭐ |
| 65 | Multi-button chord detection | ⭐⭐⭐ |

---

## 🎚️ Potentiometer Projects (Days 66-90)

| Day | Project | Difficulty |
|-----|---------|------------|
| 66 | Read potentiometer analog value | ⭐ |
| 67 | Potentiometer to LCD display | ⭐⭐ |
| 68 | Potentiometer-controlled servo | ⭐⭐ |
| 69 | Potentiometer volume control (buzzer) | ⭐⭐ |
| 70 | Potentiometer RGB color mixer (concept) | ⭐⭐ |
| 71 | Potentiometer-controlled LED count | ⭐⭐ |
| 72 | Dual potentiometer X-Y coordinate reader | ⭐⭐ |
| 73 | Potentiometer-controlled buzzer pitch | ⭐⭐ |
| 74 | Potentiometer threshold alarm | ⭐⭐ |
| 75 | Potentiometer percentage display | ⭐⭐ |
| 76 | Potentiometer speed controller | ⭐⭐ |
| 77 | Potentiometer calibration system | ⭐⭐⭐ |
| 78 | Potentiometer min/max tracker | ⭐⭐ |
| 79 | Three-pot equalizer display | ⭐⭐⭐ |
| 80 | Potentiometer-controlled timer duration | ⭐⭐ |
| 81 | Analog meter simulation | ⭐⭐ |
| 82 | Potentiometer menu navigator | ⭐⭐⭐ |
| 83 | Potentiometer game paddle | ⭐⭐ |
| 84 | Potentiometer sensitivity adjuster | ⭐⭐ |
| 85 | Potentiometer dead zone implementation | ⭐⭐⭐ |
| 86 | Potentiometer averaging/smoothing | ⭐⭐ |
| 87 | Potentiometer hysteresis implementation | ⭐⭐⭐ |
| 88 | Potentiometer range mapping | ⭐⭐ |
| 89 | Potentiometer-controlled animation speed | ⭐⭐ |
| 90 | Triple potentiometer data logger | ⭐⭐⭐ |

---

## 📺 LCD Display Projects (Days 91-130)

| Day | Project | Difficulty |
|-----|---------|------------|
| 91 | LCD "Hello World" display | ⭐ |
| 92 | LCD character display test | ⭐ |
| 93 | LCD scrolling text | ⭐⭐ |
| 94 | LCD counter display | ⭐ |
| 95 | LCD clock display (software clock) | ⭐⭐ |
| 96 | LCD temperature display (DHT11) | ⭐⭐ |
| 97 | LCD humidity display | ⭐⭐ |
| 98 | LCD barometric pressure display | ⭐⭐ |
| 99 | LCD weather station dashboard | ⭐⭐⭐ |
| 100 | LCD menu system | ⭐⭐⭐ |
| 101 | LCD custom character creation | ⭐⭐ |
| 102 | LCD progress bar | ⭐⭐ |
| 103 | LCD loading animation | ⭐⭐ |
| 104 | LCD battery icon display | ⭐⭐ |
| 105 | LCD signal strength bars | ⭐⭐ |
| 106 | LCD blinking cursor control | ⭐⭐ |
| 107 | LCD text alignment (left/center/right) | ⭐⭐ |
| 108 | LCD multi-page display | ⭐⭐⭐ |
| 109 | LCD sensor data dashboard | ⭐⭐⭐ |
| 110 | LCD stopwatch display | ⭐⭐ |
| 111 | LCD countdown timer | ⭐⭐ |
| 112 | LCD lap timer | ⭐⭐⭐ |
| 113 | LCD alarm clock interface | ⭐⭐⭐ |
| 114 | LCD calculator display | ⭐⭐⭐ |
| 115 | LCD game score display | ⭐⭐ |
| 116 | LCD high score tracker | ⭐⭐⭐ |
| 117 | LCD password entry display | ⭐⭐⭐ |
| 118 | LCD system status monitor | ⭐⭐⭐ |
| 119 | LCD error message display | ⭐⭐ |
| 120 | LCD brightness control | ⭐⭐ |
| 121 | LCD contrast adjustment | ⭐⭐ |
| 122 | LCD animation frames | ⭐⭐⭐ |
| 123 | LCD heart animation | ⭐⭐ |
| 124 | LCD spinning line animation | ⭐⭐ |
| 125 | LCD data table display | ⭐⭐⭐ |
| 126 | LCD unit converter display | ⭐⭐⭐ |
| 127 | LCD min/max temperature log | ⭐⭐⭐ |
| 128 | LCD servo angle display | ⭐⭐ |
| 129 | LCD IR code display | ⭐⭐⭐ |
| 130 | LCD debug console | ⭐⭐⭐ |

---

## 🌡️ DHT11 Temperature & Humidity Projects (Days 131-160)

| Day | Project | Difficulty |
|-----|---------|------------|
| 131 | Basic temperature reading | ⭐ |
| 132 | Basic humidity reading | ⭐ |
| 133 | Combined temp/humidity display | ⭐⭐ |
| 134 | Temperature threshold alarm | ⭐⭐ |
| 135 | Humidity threshold alarm | ⭐⭐ |
| 136 | Heat index calculator | ⭐⭐⭐ |
| 137 | Dew point calculator | ⭐⭐⭐ |
| 138 | Temperature trend indicator | ⭐⭐ |
| 139 | Humidity trend indicator | ⭐⭐ |
| 140 | Comfort level indicator | ⭐⭐⭐ |
| 141 | Temperature logger to console | ⭐⭐ |
| 142 | Min/max temperature tracker | ⭐⭐ |
| 143 | Temperature change rate monitor | ⭐⭐⭐ |
| 144 | Greenhouse monitor | ⭐⭐⭐ |
| 145 | Room climate monitor | ⭐⭐⭐ |
| 146 | Temperature-controlled relay (fan) | ⭐⭐⭐ |
| 147 | Humidity-controlled relay (humidifier) | ⭐⭐⭐ |
| 148 | Freeze warning system | ⭐⭐ |
| 149 | Heat wave alert system | ⭐⭐ |
| 150 | Temperature averaging over time | ⭐⭐ |
| 151 | Humidity averaging over time | ⭐⭐ |
| 152 | Celsius to Fahrenheit converter | ⭐ |
| 153 | Temperature-based LED color | ⭐⭐ |
| 154 | Humidity-based LED bar graph | ⭐⭐ |
| 155 | Temperature sampling rate adjuster | ⭐⭐ |
| 156 | DHT11 error handling | ⭐⭐⭐ |
| 157 | Temperature calibration offset | ⭐⭐ |
| 158 | Multi-zone temperature concept | ⭐⭐⭐ |
| 159 | Temperature data validation | ⭐⭐⭐ |
| 160 | Climate change detector | ⭐⭐⭐ |

---

## 🌤️ BMP180 Barometric Pressure Projects (Days 161-185)

| Day | Project | Difficulty |
|-----|---------|------------|
| 161 | Basic pressure reading | ⭐ |
| 162 | Altitude estimation | ⭐⭐ |
| 163 | BMP180 temperature reading | ⭐ |
| 164 | Pressure trend monitor | ⭐⭐ |
| 165 | Weather prediction (rising/falling) | ⭐⭐⭐ |
| 166 | Storm warning system | ⭐⭐⭐ |
| 167 | Pressure-based altitude logger | ⭐⭐⭐ |
| 168 | Relative altitude measurement | ⭐⭐ |
| 169 | Floor/level detector | ⭐⭐⭐ |
| 170 | Pressure change rate monitor | ⭐⭐⭐ |
| 171 | Barometer calibration system | ⭐⭐⭐ |
| 172 | Sea level pressure calculator | ⭐⭐⭐ |
| 173 | Pressure unit converter (hPa/inHg/mmHg) | ⭐⭐ |
| 174 | Combined pressure/temp display | ⭐⭐ |
| 175 | Pressure averaging filter | ⭐⭐ |
| 176 | Pressure spike detector | ⭐⭐⭐ |
| 177 | Altitude change alarm | ⭐⭐⭐ |
| 178 | Pressure-based door open detector | ⭐⭐⭐ |
| 179 | Pressure sampling optimization | ⭐⭐⭐ |
| 180 | Pressure data smoothing | ⭐⭐ |
| 181 | Elevation gain tracker | ⭐⭐⭐ |
| 182 | Pressure comparison (two readings) | ⭐⭐ |
| 183 | Weather trend LCD display | ⭐⭐⭐ |
| 184 | Pressure-triggered relay | ⭐⭐⭐ |
| 185 | Combined DHT11 + BMP180 station | ⭐⭐⭐ |

---

## 🚶 HC-SR501 Motion Sensor Projects (Days 186-210)

| Day | Project | Difficulty |
|-----|---------|------------|
| 186 | Basic motion detection | ⭐ |
| 187 | Motion-activated LED | ⭐ |
| 188 | Motion-activated buzzer alarm | ⭐⭐ |
| 189 | Motion-triggered relay | ⭐⭐ |
| 190 | Motion detection counter | ⭐⭐ |
| 191 | Motion-activated LCD message | ⭐⭐ |
| 192 | Motion timeout system | ⭐⭐ |
| 193 | Motion sensitivity testing | ⭐⭐ |
| 194 | Motion detection logging | ⭐⭐ |
| 195 | Occupancy detector | ⭐⭐⭐ |
| 196 | Motion-activated light timer | ⭐⭐ |
| 197 | Motion alarm with cooldown | ⭐⭐⭐ |
| 198 | Motion detection zones | ⭐⭐⭐ |
| 199 | Pet/intruder detector | ⭐⭐⭐ |
| 200 | Motion-triggered camera concept | ⭐⭐⭐ |
| 201 | Motion pattern analyzer | ⭐⭐⭐ |
| 202 | Motion event timestamp logger | ⭐⭐⭐ |
| 203 | Motion-based energy saver | ⭐⭐⭐ |
| 204 | Motion delay adjustment | ⭐⭐ |
| 205 | Motion retriggering control | ⭐⭐⭐ |
| 206 | Motion + button arm/disarm | ⭐⭐⭐ |
| 207 | Motion detection statistics | ⭐⭐⭐ |
| 208 | Motion-activated welcome display | ⭐⭐ |
| 209 | Motion false positive filter | ⭐⭐⭐ |
| 210 | Motion-based presence system | ⭐⭐⭐ |

---

## 🔊 Active Buzzer Projects (Days 211-240)

| Day | Project | Difficulty |
|-----|---------|------------|
| 211 | Simple buzzer beep | ⭐ |
| 212 | Buzzer patterns (short/long) | ⭐ |
| 213 | Buzzer Morse code | ⭐⭐ |
| 214 | Buzzer alarm sound | ⭐⭐ |
| 215 | Buzzer doorbell | ⭐⭐ |
| 216 | Buzzer notification sounds | ⭐⭐ |
| 217 | Buzzer error tone | ⭐ |
| 218 | Buzzer success tone | ⭐ |
| 219 | Buzzer warning pattern | ⭐⭐ |
| 220 | Buzzer melody (limited) | ⭐⭐ |
| 221 | Buzzer tempo control | ⭐⭐ |
| 222 | Button-activated buzzer tones | ⭐⭐ |
| 223 | Motion-triggered alarm sound | ⭐⭐ |
| 224 | Temperature alarm buzzer | ⭐⭐ |
| 225 | Timer completion buzzer | ⭐⭐ |
| 226 | Buzzer with LED sync | ⭐⭐ |
| 227 | Countdown buzzer | ⭐⭐ |
| 228 | Buzzer battery low alert | ⭐⭐ |
| 229 | Buzzer system startup sound | ⭐⭐ |
| 230 | Buzzer system shutdown sound | ⭐⭐ |
| 231 | Buzzer accessibility alerts | ⭐⭐ |
| 232 | Buzzer rhythm generator | ⭐⭐⭐ |
| 233 | Buzzer metronome | ⭐⭐ |
| 234 | Buzzer click feedback | ⭐ |
| 235 | Buzzer navigation feedback | ⭐⭐ |
| 236 | Buzzer game sounds | ⭐⭐⭐ |
| 237 | Buzzer quiz show timer | ⭐⭐⭐ |
| 238 | Buzzer racing countdown | ⭐⭐ |
| 239 | Buzzer proximity alert | ⭐⭐⭐ |
| 240 | Buzzer volume simulation (on/off speed) | ⭐⭐⭐ |

---

## ⚙️ Servo Motor Projects (Days 241-270)

| Day | Project | Difficulty |
|-----|---------|------------|
| 241 | Servo sweep (0-180°) | ⭐ |
| 242 | Servo position control | ⭐⭐ |
| 243 | Potentiometer servo control | ⭐⭐ |
| 244 | Button-controlled servo steps | ⭐⭐ |
| 245 | Servo speed control | ⭐⭐ |
| 246 | Servo smooth movement | ⭐⭐⭐ |
| 247 | Servo oscillation | ⭐⭐ |
| 248 | Servo door lock mechanism | ⭐⭐⭐ |
| 249 | Servo pet feeder concept | ⭐⭐⭐ |
| 250 | Servo gauge/meter indicator | ⭐⭐⭐ |
| 251 | Servo temperature indicator | ⭐⭐⭐ |
| 252 | Servo humidity indicator | ⭐⭐⭐ |
| 253 | Servo light tracker concept | ⭐⭐⭐ |
| 254 | Servo timed movement | ⭐⭐ |
| 255 | Servo position memory | ⭐⭐⭐ |
| 256 | Servo random position | ⭐⭐ |
| 257 | Servo wave mechanism | ⭐⭐⭐ |
| 258 | Servo flag waver | ⭐⭐ |
| 259 | Servo sorting mechanism concept | ⭐⭐⭐ |
| 260 | IR remote servo control | ⭐⭐⭐ |
| 261 | Servo with LCD feedback | ⭐⭐⭐ |
| 262 | Servo calibration routine | ⭐⭐⭐ |
| 263 | Servo position limits | ⭐⭐ |
| 264 | Servo acceleration control | ⭐⭐⭐ |
| 265 | Multi-position servo preset | ⭐⭐⭐ |
| 266 | Servo animation sequence | ⭐⭐⭐ |
| 267 | Servo robotic arm joint concept | ⭐⭐⭐ |
| 268 | Servo camera mount pan | ⭐⭐⭐ |
| 269 | Servo blinds controller concept | ⭐⭐⭐ |
| 270 | Servo ventilation control | ⭐⭐⭐ |

---

## ⚡ Relay Module Projects (Days 271-295)

| Day | Project | Difficulty |
|-----|---------|------------|
| 271 | Basic relay toggle | ⭐ |
| 272 | Button-controlled relay | ⭐ |
| 273 | Timed relay activation | ⭐⭐ |
| 274 | Motion-activated relay | ⭐⭐ |
| 275 | Temperature-controlled relay | ⭐⭐⭐ |
| 276 | Humidity-controlled relay | ⭐⭐⭐ |
| 277 | Light-controlled relay | ⭐⭐ |
| 278 | Scheduled relay (software timer) | ⭐⭐⭐ |
| 279 | Relay with safety timeout | ⭐⭐⭐ |
| 280 | Relay toggle with LCD status | ⭐⭐ |
| 281 | Relay manual override system | ⭐⭐⭐ |
| 282 | Relay cycling system | ⭐⭐ |
| 283 | Relay delay on/off | ⭐⭐ |
| 284 | Relay soft start concept | ⭐⭐⭐ |
| 285 | IR remote relay control | ⭐⭐⭐ |
| 286 | Multi-condition relay trigger | ⭐⭐⭐ |
| 287 | Relay fail-safe system | ⭐⭐⭐ |
| 288 | Relay with feedback indication | ⭐⭐ |
| 289 | Relay power cycling routine | ⭐⭐⭐ |
| 290 | Relay appliance scheduler | ⭐⭐⭐ |
| 291 | Relay fan controller | ⭐⭐⭐ |
| 292 | Relay light controller | ⭐⭐ |
| 293 | Relay heater controller concept | ⭐⭐⭐ |
| 294 | Relay with cooldown period | ⭐⭐⭐ |
| 295 | Relay master/slave concept | ⭐⭐⭐ |

---

## 💡 Photoresistor (Light Sensor) Projects (Days 296-320)

| Day | Project | Difficulty |
|-----|---------|------------|
| 296 | Basic light level reading | ⭐ |
| 297 | Light level to LCD | ⭐⭐ |
| 298 | Light threshold detector | ⭐⭐ |
| 299 | Day/night detector | ⭐⭐ |
| 300 | Light-activated LED | ⭐⭐ |
| 301 | Light-activated relay | ⭐⭐ |
| 302 | Light level bar graph | ⭐⭐ |
| 303 | Light tracking (3 sensors) | ⭐⭐⭐ |
| 304 | Shadow detector | ⭐⭐ |
| 305 | Light change rate detector | ⭐⭐⭐ |
| 306 | Light averaging filter | ⭐⭐ |
| 307 | Light calibration routine | ⭐⭐⭐ |
| 308 | Light-controlled servo | ⭐⭐⭐ |
| 309 | Light-controlled buzzer | ⭐⭐ |
| 310 | Light meter display | ⭐⭐ |
| 311 | Sunrise/sunset detector | ⭐⭐⭐ |
| 312 | Light flicker detector | ⭐⭐⭐ |
| 313 | Light comparison (3 sensors) | ⭐⭐⭐ |
| 314 | Light direction indicator | ⭐⭐⭐ |
| 315 | Light-based alarm trigger | ⭐⭐⭐ |
| 316 | Ambient light logger | ⭐⭐⭐ |
| 317 | Light-controlled LCD brightness | ⭐⭐⭐ |
| 318 | Light pattern recognition | ⭐⭐⭐ |
| 319 | Light threshold adjustment | ⭐⭐ |
| 320 | Light-based security system | ⭐⭐⭐ |

---

## 📐 Tilt Switch Projects (Days 321-335)

| Day | Project | Difficulty |
|-----|---------|------------|
| 321 | Basic tilt detection | ⭐ |
| 322 | Tilt-activated LED | ⭐ |
| 323 | Tilt-activated buzzer | ⭐⭐ |
| 324 | Tilt alarm system | ⭐⭐ |
| 325 | Tilt counter | ⭐⭐ |
| 326 | Tilt direction indicator | ⭐⭐ |
| 327 | Tilt-based game controller | ⭐⭐⭐ |
| 328 | Tilt motion logger | ⭐⭐⭐ |
| 329 | Anti-tamper tilt detector | ⭐⭐⭐ |
| 330 | Tilt-activated relay | ⭐⭐ |
| 331 | Tilt debouncing | ⭐⭐ |
| 332 | Tilt sensitivity analysis | ⭐⭐⭐ |
| 333 | Tilt event timestamp | ⭐⭐⭐ |
| 334 | Tilt-based orientation display | ⭐⭐⭐ |
| 335 | Tilt with LCD status | ⭐⭐ |

---

## 📡 IR Remote Control Projects (Days 336-355)

| Day | Project | Difficulty |
|-----|---------|------------|
| 336 | IR signal receiver test | ⭐ |
| 337 | IR code decoder | ⭐⭐ |
| 338 | IR code to LCD display | ⭐⭐ |
| 339 | IR button mapping | ⭐⭐ |
| 340 | IR-controlled LED | ⭐⭐ |
| 341 | IR-controlled servo | ⭐⭐⭐ |
| 342 | IR-controlled relay | ⭐⭐⭐ |
| 343 | IR-controlled buzzer | ⭐⭐ |
| 344 | IR volume control simulation | ⭐⭐⭐ |
| 345 | IR channel selector simulation | ⭐⭐⭐ |
| 346 | IR power toggle | ⭐⭐ |
| 347 | IR number pad input | ⭐⭐⭐ |
| 348 | IR menu navigation | ⭐⭐⭐ |
| 349 | IR-controlled timer | ⭐⭐⭐ |
| 350 | IR learning mode concept | ⭐⭐⭐ |
| 351 | IR repeat detection | ⭐⭐⭐ |
| 352 | IR multi-device concept | ⭐⭐⭐ |
| 353 | IR-controlled LCD messages | ⭐⭐⭐ |
| 354 | IR code logger | ⭐⭐⭐ |
| 355 | IR universal remote concept | ⭐⭐⭐ |

---

## 🎮 Integrated/Advanced Projects (Days 356-365)

| Day | Project | Difficulty |
|-----|---------|------------|
| 356 | Complete weather station (DHT11 + BMP180 + LCD) | ⭐⭐⭐⭐ |
| 357 | Home security system (motion + tilt + buzzer + relay + LCD) | ⭐⭐⭐⭐ |
| 358 | Smart thermostat (DHT11 + relay + LCD + buttons) | ⭐⭐⭐⭐ |
| 359 | Simon Says game (LEDs + buttons + buzzer + LCD) | ⭐⭐⭐⭐ |
| 360 | Reaction time game (LEDs + buttons + LCD + buzzer) | ⭐⭐⭐⭐ |
| 361 | Light-following servo system (3 photoresistors + servo) | ⭐⭐⭐⭐ |
| 362 | IR-controlled home automation (IR + relay + servo + LCD) | ⭐⭐⭐⭐ |
| 363 | Environmental data logger (all sensors + LCD) | ⭐⭐⭐⭐ |
| 364 | Multi-zone alarm system (motion + light + tilt + buzzer + LCD) | ⭐⭐⭐⭐ |
| 365 | Complete smart home dashboard (all components integrated) | ⭐⭐⭐⭐⭐ |

---

## 📊 Component Usage Summary

| Component | Project Days | Total Projects |
|-----------|--------------|----------------|
| LEDs | 1-40 | 40 |
| Buttons | 41-65 | 25 |
| Potentiometers | 66-90 | 25 |
| I2C LCD 1602 | 91-130 | 40 |
| DHT11 | 131-160 | 30 |
| BMP180 | 161-185 | 25 |
| HC-SR501 Motion | 186-210 | 25 |
| Active Buzzer | 211-240 | 30 |
| Servo Motor | 241-270 | 30 |
| Relay Module | 271-295 | 25 |
| Photoresistors | 296-320 | 25 |
| Tilt Switch | 321-335 | 15 |
| IR Receiver/Remote | 336-355 | 20 |
| Integrated Projects | 356-365 | 10 |
| **Total** | | **365** |

---

## 🎯 Difficulty Legend

| Symbol | Level | Description |
|--------|-------|-------------|
| ⭐ | Beginner | Basic concepts, single component |
| ⭐⭐ | Easy | Simple logic, 1-2 components |
| ⭐⭐⭐ | Intermediate | Complex logic, multiple components |
| ⭐⭐⭐⭐ | Advanced | System integration, state machines |
| ⭐⭐⭐⭐⭐ | Expert | Full system, all components |

---

## 💡 Tips for Success

1.  **Start Simple** - Begin with Day 1 and build complexity gradually
2. **Document Everything** - Keep a project journal with notes and learnings
3. **Reuse Code** - Build a library of reusable functions as you progress
4.  **Combine Components** - After mastering individual components, integrate them
5. **Debug Systematically** - Use the LCD or serial output for debugging
6. **Safety First** - Be careful with relay projects involving mains voltage
7. **Explore Both Languages** - Try projects in both MicroPython and Rust
8. **Share Your Work** - Post your projects and help others learn

---

## 🛠️ Technology Stack

- **Microcontroller**: Raspberry Pi Pico 2 (RP2350)
- **Language**: Rust with Embassy async framework
- **Target**: `thumbv8m. main-none-eabihf`
- **HAL**: `embassy-rp`

---

## 📄 License

MIT License - Copyright (c) 2025

---

## 🚀 Getting Started

Start your journey with [Day 1: Blink a Single LED](./DAY001/README.md)

---

*"A journey of 365 projects begins with a single blink."* 🦀
